"","Basal_1","Basal_2","Basal_3","Luminal_1","Luminal_2","Luminal_3"
"ENSG00000000003",3063.523,2595.819,1858.888,5484.804,5835.183,5282.971
"ENSG00000000005",0,1,3,0,0,0
"ENSG00000000419",5789.018,3872.824,4193.611,4048.758,2490.729,3660.102
"ENSG00000000457",2009.02,1613.409,1420.251,3384.663,2402.486,2763.96
"ENSG00000000460",614.459,400.559,455.363,826.121,505.659,613.572
"ENSG00000000938",18,93,26,9,33,8
"ENSG00000000971",4820.196,3651.438,1964.904,6833.564,3547.515,2131.567
"ENSG00000001036",1344.855,1153.483,1343.152,2549.807,1564.642,2108
"ENSG00000001084",1635.182,3696.216,2159.81,1194.241,1451.007,1247.386
"ENSG00000001167",2710.448,2441.345,2840.901,2340.716,2345.444,2729.937
"ENSG00000001460",309.53,831.837,254.789,307.353,949.288,441.258
"ENSG00000001461",3601.58,5361.042,1889,7196.988,8070.237,4806.176
"ENSG00000001497",4525.836,2265.877,2901.12,1771.703,1041.438,1763.365
"ENSG00000001561",1991.381,2056.342,1266,6582.208,6946.539,4212
"ENSG00000001617",2724.098,8365.956,2718.999,1501.986,2577.418,1629.034
"ENSG00000001626",2775.265,411.66,417.928,13511.325,2549.22,4475.333
"ENSG00000001629",9609.069,8234.217,7360.001,9023.252,8229.331,7987
"ENSG00000001630",18896.276,9015.143,12302.214,25922.299,7773.844,21586.296
"ENSG00000001631",1029.761,938.066,931.701,894.942,859.156,957.977
"ENSG00000002016",1405.147,1028.637,1116.498,896.35,793.972,966
"ENSG00000002079",48,84,308.001,56,132,336
"ENSG00000002330",2056.119,1926.586,1750,1576.991,1693.368,1727.998
"ENSG00000002549",9377.126,4085.377,7562.178,10969.558,4453.993,7700.999
"ENSG00000002587",1594.398,1163.084,1379.675,2206.085,1092.954,1609.013
"ENSG00000002726",22,23,6,68,137.022,83
"ENSG00000002745",24,17,3,1,2,0
"ENSG00000002746",30.193,48.233,13.756,33.255,29.166,14.021
"ENSG00000002822",3294.393,2740.189,2499.921,1934.489,1623.522,1790.446
"ENSG00000002834",5066.14,8123.538,5403.217,9001.76,9909.239,8533.002
"ENSG00000002919",2085.79,1192.469,1554.695,1881.636,1180.044,1602.289
"ENSG00000002933",27,11,1,179,44.2,22
"ENSG00000003056",25845.931,14625.244,17132.969,14725.589,9490.255,12564.919
"ENSG00000003096",542.221,484.139,445.121,196,380.999,402
"ENSG00000003137",99.004,114,299,42,40,113
"ENSG00000003147",2454.945,2545.365,1378.984,6916.886,5569.289,4215.009
"ENSG00000003249",207.296,363.571,131.01,511.069,632.217,642.908
"ENSG00000003393",644.153,582.906,346.197,546.29,388.862,264.461
"ENSG00000003400",1227.275,1024.783,753.058,5029.652,2302.687,4163.008
"ENSG00000003402",27602.345,22653.326,26213.415,19541.862,18808.597,24423.891
"ENSG00000003436",825.347,1489.749,1076.562,1755.577,2591.928,1931.289
"ENSG00000003509",1438.195,962.634,996.414,1137.356,827.255,917.853
"ENSG00000003756",11200.662,9249.496,10792.896,9228.15,9078.998,11946.609
"ENSG00000003987",32,39,21,10,11,15
"ENSG00000003989",29642.492,26065.524,19797.261,13257.608,9279.069,16026.039
"ENSG00000004059",4895.913,4165.814,3776.821,4549.647,3587.64,4235.259
"ENSG00000004139",1582.242,1204.178,1323.001,1920.622,1100.11,1457
"ENSG00000004142",9660.846,5338.462,7105.999,6301.074,3737.246,5908.976
"ENSG00000004399",286,339.034,165,257.999,294,248
"ENSG00000004455",23922.649,11996.898,14701.207,12193.574,6314.082,9764.011
"ENSG00000004468",97.014,48.262,58,839.057,695.763,1051.112
"ENSG00000004478",47692.026,29192.816,30915,21313.84,13888.521,18785.006
"ENSG00000004487",6047.536,5217.425,4766.692,4417.623,5084.331,4792.564
"ENSG00000004534",12228.742,12701.315,10910.509,9896.42,9902.864,9225.165
"ENSG00000004660",827.614,647.772,551.38,214.834,212.701,210.093
"ENSG00000004700",3912.314,1984.545,3189.999,3451.407,1633.001,2414.001
"ENSG00000004766",2927.22,1686.554,1900.158,3182.515,2212.134,2370.012
"ENSG00000004776",0,0,0,1,0,3
"ENSG00000004777",22,13,50,22,38.001,72
"ENSG00000004779",6630.558,3244.852,4579.011,3762.936,1876.077,2968.98
"ENSG00000004799",6139.804,9297.331,2881.041,20628.554,23943.628,16137.958
"ENSG00000004809",9,5,4,13,9,40
"ENSG00000004838",8,8,17,15,11,24
"ENSG00000004846",21.485,86.481,35.702,27.34,56.901,23.43
"ENSG00000004848",2,71,72,6,108,43
"ENSG00000004864",3839.965,2411.209,3042.001,3026.634,2237.442,3110.002
"ENSG00000004866",1907.247,1230.16,1761.001,1892.831,1070.914,1604.997
"ENSG00000004897",9814.583,5926.595,8494.101,8091.851,5557.611,7284.005
"ENSG00000004939",54.339,98.795,44.556,38.205,68.656,28.345
"ENSG00000004948",1,0,0,0,0,0
"ENSG00000004961",3628.974,2587.254,3107,2416.233,2006.626,2572.999
"ENSG00000004975",2824.358,3083.868,2108.211,2364.295,2692.297,2397.999
"ENSG00000005001",1109.712,980.909,469.867,2873.333,1934.176,1691.001
"ENSG00000005007",17088.335,13078.241,13764.915,12913.803,12611.619,12086.525
"ENSG00000005020",1885.563,1678.114,1322.728,3467.554,2327.351,1914.519
"ENSG00000005022",20232.241,14009.883,16051.95,14161.105,10071.587,12547.976
"ENSG00000005059",1913.861,815.008,1280,3853.115,1735.554,2934
"ENSG00000005073",676.144,855.952,413,872,667.989,424
"ENSG00000005075",2150.9,1264.557,1356.095,1842.768,1343.513,1449.716
"ENSG00000005100",4289.469,2431.718,3119.999,1636.008,1136.536,1435.999
"ENSG00000005102",5,2,1,1,0,1
"ENSG00000005108",602.778,410.804,169,1174.271,837.352,744
"ENSG00000005156",6539.577,4227.3,5948.722,4316.246,3004.996,4421.356
"ENSG00000005175",4258.561,2160.472,3523.977,2670.651,1532.753,2685.791
"ENSG00000005187",103,152.381,170.001,194,256,785.138
"ENSG00000005189",64,49,69.999,133.061,99.03,125
"ENSG00000005194",6803.774,2926.23,4725.002,4668.861,2305.089,4363.996
"ENSG00000005206",1018.823,1463.126,1016.416,1174.638,1732.69,1489.192
"ENSG00000005238",869.478,1949.588,1522.001,1212.467,1484.281,1918
"ENSG00000005243",141,89,155,67,59,72
"ENSG00000005249",300.439,1.989,65.163,266.234,62.494,147.689
"ENSG00000005302",1891.754,894.902,1226.662,1274.693,617.682,1039.378
"ENSG00000005339",5567.05,6977.708,6095.348,6063.676,8012.925,8100.24
"ENSG00000005379",394.043,333.837,683.999,399.15,548.265,856.998
"ENSG00000005381",0,0,0,0,0,1
"ENSG00000005421",0,2.008,2,1,3.887,3.002
"ENSG00000005436",2626.208,1101.03,1940.999,1398.002,647.752,1359.001
"ENSG00000005448",99.227,245.125,87.019,37.381,213.653,113.379
"ENSG00000005469",4368.265,4997.467,3693.001,3639.355,4491.688,4191.304
"ENSG00000005471",0,3,0,3.001,4,0
"ENSG00000005483",5105.971,10446.535,8089.136,5933.101,12887.735,9447.951
"ENSG00000005486",2200.406,1662.645,1451,3434.41,2448.335,3049
"ENSG00000005513",176,191,130.661,123.042,298.03,150
"ENSG00000005801",3808.392,2652.665,2936.566,3297.108,2205.177,2640.579
"ENSG00000005810",10108.245,7447.552,6994.525,6912.487,5926.37,6344.332
"ENSG00000005812",10880.225,6878.9,8796.544,10868.726,7678.008,11575
"ENSG00000005844",13.166,45.365,17.299,10.019,31.533,18.954
"ENSG00000005882",361.073,408.25,309,669.021,666.999,560.001
"ENSG00000005884",124436.046,123265.584,113796.9,46155.398,46436.799,48463.703
"ENSG00000005889",6892.342,4673.181,6009.878,6500.085,5730.403,7467.522
"ENSG00000005893",12644.281,11860.572,9356.252,16429.086,15788.864,14695.596
"ENSG00000005961",19.124,30.099,25.807,14.96,20.166,23.012
"ENSG00000005981",11,20,17.07,7,23,11.158
"ENSG00000006007",13028.505,14050.887,9061.755,23502.437,26847.536,22652.011
"ENSG00000006015",604.66,699.148,574.784,431.2,418.129,424.568
"ENSG00000006016",4,43,8.604,23,8.02,7
"ENSG00000006025",171.001,254.112,263.999,338.001,325.051,378.002
"ENSG00000006042",1098.121,928.111,688.203,2159.883,1996.288,1907.837
"ENSG00000006062",2198.156,1920.748,2772.4,1802.098,1772.547,3785.306
"ENSG00000006071",0,0,0,5.097,3.19,3.165
"ENSG00000006116",0,0,0,0,0,0
"ENSG00000006118",10236.901,8595.589,8570.173,15532.396,9780.677,14684.7
"ENSG00000006125",22130.376,17056.427,19658.992,20356.749,15178.38,18540.026
"ENSG00000006128",5,3,1,57.055,9,27
"ENSG00000006194",7247.349,4170.426,5377.366,4377.043,3408.883,4818.02
"ENSG00000006210",3006.887,3252.1,3137.825,13913.156,14882.561,24299.905
"ENSG00000006282",807.357,770.058,1293.113,1152.928,1227.869,1587.999
"ENSG00000006283",19,15,43,18,28,58
"ENSG00000006327",30365.694,16843.464,25778.993,15886.994,11353.709,21423.723
"ENSG00000006377",1,0,0,0,0,1
"ENSG00000006432",2918.012,6135.453,3390.973,2800.449,4457.263,3582.498
"ENSG00000006451",4091.666,2783.62,3625.93,3078.521,2328.57,2960
"ENSG00000006453",9704.214,10735.408,8734.161,20936.541,17598.048,21316.115
"ENSG00000006459",15464.293,19014.845,15597,12042.296,19597.88,12389.905
"ENSG00000006468",73.999,28,101.002,152.001,78,98
"ENSG00000006530",394.826,203.629,397.234,182.4,187.044,248.424
"ENSG00000006534",251.034,586.474,180.804,425.943,970.141,479.852
"ENSG00000006555",1454.309,2626.921,865.557,3173.992,4071.708,2883.706
"ENSG00000006576",1884.208,1177.452,1368.604,975.329,862.658,1011.587
"ENSG00000006606",13,1,3,24,4,1
"ENSG00000006607",4208.733,4770.215,3773.481,3720.659,5872.518,4220.503
"ENSG00000006611",0,1,0,2,0,2
"ENSG00000006625",2026.987,1430.584,1660.006,1299.663,826.776,1193.219
"ENSG00000006634",1698.973,743.886,1466.857,1264.672,563.603,1091.149
"ENSG00000006638",89.323,210.813,90.276,83.806,185.227,122.149
"ENSG00000006652",5476.845,4320.901,5404.801,3806.732,5301.791,5058.089
"ENSG00000006659",0,1,0,0,0,1
"ENSG00000006695",1381.151,805.597,1036.217,757.623,555.574,827.562
"ENSG00000006704",3621.239,6714.004,3039.257,5131.391,8711.087,6286.449
"ENSG00000006712",6223.687,4192.281,5800.001,6323.464,4390.061,6883
"ENSG00000006715",4253.548,3712.381,3331.193,5594.213,4546.203,4763.339
"ENSG00000006740",899.109,479.069,333.012,3157.575,2324.269,1571.998
"ENSG00000006744",12348.09,6483.149,9057.065,6181.512,3191.549,5336.323
"ENSG00000006747",203.246,497.206,70.024,1203.79,3790.656,505.065
"ENSG00000006756",2222.531,1369.852,1502.932,5175.659,3072.239,4007.224
"ENSG00000006757",408.737,305.144,367.001,404.001,317.013,403.56
"ENSG00000006788",1,0,0.999,0,0,1.002
"ENSG00000006837",196.901,178.872,201.201,144.431,141.491,198.264
"ENSG00000007001",2,6,3,5,3.963,3
"ENSG00000007038",405.012,89,176,317.999,72,109.999
"ENSG00000007047",1096.147,1798.23,1266.946,937.006,1494.066,1176.002
"ENSG00000007062",1812.047,399.902,284.263,11473.656,1962.468,3591.991
"ENSG00000007080",4359.683,2946.8,3077.164,2223.385,1666.423,2105.776
"ENSG00000007129",0,0,1,0,0,0
"ENSG00000007168",11909.883,9951.651,9199.965,10527.093,8183.17,8978.858
"ENSG00000007171",813.807,200.251,1290.359,1503.096,945.685,2753.178
"ENSG00000007174",41.004,29.411,44.301,87.113,55.613,84.252
"ENSG00000007202",35906.024,27964.725,25624.214,29718.7,22161.416,24527.014
"ENSG00000007216",1,3,0,9,15,6
"ENSG00000007237",336.868,254.073,468.331,551.387,189.802,438.811
"ENSG00000007255",272.027,225.999,194,421.058,278.162,377
"ENSG00000007264",7.014,32.001,20.019,8.63,28.007,30.75
"ENSG00000007306",723.189,720.321,97,399.031,2011.959,1168.493
"ENSG00000007312",6.829,2,4,4,0,0
"ENSG00000007314",8,12,11,13,15,26
"ENSG00000007341",2157.858,1510.702,1934.095,1562.984,1058.715,1634.964
"ENSG00000007350",0,0,0,0,0,1
"ENSG00000007372",0,0,3.422,1.401,0,2
"ENSG00000007376",1992.271,919.012,1605,1202.335,711.198,1155.001
"ENSG00000007384",3648.769,7005.895,4600.999,5337.572,7770.09,6980
"ENSG00000007392",6175.628,4341.403,4521.501,4215.027,3615.056,4237.068
"ENSG00000007402",90.006,72.001,130,73,120.001,132
"ENSG00000007516",237.026,288.117,227.169,290.59,625.367,370.491
"ENSG00000007520",3043.036,1700.472,2470,1529.651,1033.947,1526
"ENSG00000007541",1377.119,1183.488,976.641,1840.028,1475.981,1708.264
"ENSG00000007545",3370.027,3427.682,2890.348,2827.455,3573.384,3515.933
"ENSG00000007866",2816.247,4700.408,2650.192,2699.1,3348.917,2597.83
"ENSG00000007908",2626.496,83,384,10190.836,511.41,3555
"ENSG00000007923",8661.229,4627.692,6899.816,3689.833,2149.845,3924.07
"ENSG00000007933",32.811,48.079,26.33,35.515,58.675,47.946
"ENSG00000007944",1862.9,1657.902,2650,2590.488,3391.876,3423
"ENSG00000007952",29,24,4,131,210,152
"ENSG00000008018",20246.048,11863.335,14129.991,15936.574,8519.168,12100
"ENSG00000008056",4.215,12.825,9,6,6,10
"ENSG00000008083",1689.363,2396.534,1362,1386.152,1950.517,1645
"ENSG00000008086",992.389,2800.162,635.568,1746.066,4060.098,2424.098
"ENSG00000008118",7,3,9,6,5,9
"ENSG00000008128",1250.357,1674.735,1271.577,1205.794,1605.447,1221.963
"ENSG00000008130",9446.928,7043.909,6424.998,7755.672,7062.418,7107.726
"ENSG00000008196",0,0,0,1,0,0
"ENSG00000008197",0,0,0,0,0,0
"ENSG00000008226",26,34.436,28,40,61.207,50
"ENSG00000008256",1394.781,1157.404,1172,1587.073,1612.125,1417.999
"ENSG00000008277",67.116,77.999,169,67,36,61.853
"ENSG00000008282",13046.558,10064.235,10148.07,9660.461,8178.411,8544.066
"ENSG00000008283",6307.299,4289.22,4781.501,10638.425,6314.734,6958.721
"ENSG00000008294",30366.487,28809.127,31577.482,20566.826,24522.79,29341.702
"ENSG00000008300",250,267,536,226,254,513
"ENSG00000008311",1488.243,592.44,1006.983,1075.255,504.698,788.081
"ENSG00000008323",608.285,1581.309,650.357,449.639,1507.291,931.74
"ENSG00000008324",1686.337,966.589,1083.362,1322.532,794.751,1030.416
"ENSG00000008382",203,246.001,188,279,246.002,231.001
"ENSG00000008394",3713.521,3855.085,2473.042,11895.392,8352.734,7919.572
"ENSG00000008405",5136.477,3493.054,4042,6531.555,5749.363,6292
"ENSG00000008438",0,0,0,0,0,1
"ENSG00000008441",3009.194,3334.346,3412.558,2395.137,3137.166,2996.414
"ENSG00000008513",6526.766,4995.685,5982.859,10927.465,9200.027,12216.405
"ENSG00000008516",223.015,162.807,532.649,85,177.218,494
"ENSG00000008517",4487.675,3547.735,5502.332,8173.682,5067.348,11002.549
"ENSG00000008710",11479.147,14467.394,9753.888,5681.489,7802.411,7447.708
"ENSG00000008735",267.48,318.78,352.805,628.509,709.223,1218.16
"ENSG00000008838",5747.993,4066.839,4572.044,5064.906,3938.93,6661.415
"ENSG00000008853",487.244,498.891,539.312,540.591,552.235,594.502
"ENSG00000008869",4618.025,4071.011,3506.001,5456.08,5657.812,4841
"ENSG00000008952",14776.589,10892.491,12062.533,12970.613,10741.101,11383.25
"ENSG00000008988",54145.306,41551.908,40860.053,42580.788,40779.168,36755.732
"ENSG00000009307",90065.914,61797.841,69138.568,67346.417,62040.918,61865.766
"ENSG00000009335",29900.416,18280.309,21491.354,16678.022,11417.953,15991.06
"ENSG00000009413",5286.94,3920.451,4730.845,3569.813,3085.462,4455.722
"ENSG00000009694",13,6,14,108,156.001,122
"ENSG00000009709",0,0,2,0,0,1
"ENSG00000009724",17.001,12.739,14.552,1,3.315,4.813
"ENSG00000009765",43.684,94.729,47.498,56.13,100.192,57.326
"ENSG00000009780",695.506,372.318,586.261,440.352,266.957,474.962
"ENSG00000009790",0,0,4,4,4,3
"ENSG00000009830",984.144,794.208,576.166,575.233,328.07,548.813
"ENSG00000009844",8991.09,5352.5,6464.999,7226.096,4716.825,5975.958
"ENSG00000009950",94.992,239.852,119.209,92.959,172.074,113.862
"ENSG00000009954",14535.121,10242.387,12777.161,10823.803,8308.145,11696.999
"ENSG00000010017",3744.277,4146.722,3033,6005.153,7188.85,5267
"ENSG00000010030",261.111,276,510,618.24,487,803
"ENSG00000010072",1980.353,892.125,1464.792,1636.011,891.927,1373.999
"ENSG00000010165",5365.673,2602.736,3233,3845.007,2104.727,2929.914
"ENSG00000010219",1148.996,794.069,956.353,806.171,511.757,606.254
"ENSG00000010244",36161.651,25285.194,29632.066,21858.477,17999.757,23721.267
"ENSG00000010256",12579.171,8733.707,9634.001,9201.768,5954.48,8132.071
"ENSG00000010270",2075.146,1384.441,1747,2424.422,1580.99,2006
"ENSG00000010278",25759.289,27936.707,18003.495,32879.071,30626.066,30655.66
"ENSG00000010282",8,5,3,11.001,12,13.999
"ENSG00000010292",2513.446,2536.449,1568.085,3393.204,2567.918,2269.983
"ENSG00000010295",43.001,30.995,69.075,17.608,27.766,63.077
"ENSG00000010310",113.865,356.099,173.558,109.217,267.047,144.203
"ENSG00000010318",85.9,76.001,73,72.001,56,64
"ENSG00000010319",21,19,20,7,19,24
"ENSG00000010322",4382.877,5190.205,4534.023,3889.934,5311.749,4532.012
"ENSG00000010327",91.002,36,121,17,11.999,22
"ENSG00000010361",458.009,288.149,213.001,661.436,443.001,415.999
"ENSG00000010379",4,4,18.999,12,6,8
"ENSG00000010404",4205.119,5240.428,3325.743,4224.734,5083.73,3963.108
"ENSG00000010438",1369.506,1302.478,1069,3349.908,2784.918,4153.33
"ENSG00000010539",1060.411,684.327,1083.391,852.164,642.563,1010.085
"ENSG00000010610",18,14,55,6,13,24
"ENSG00000010626",182.239,198.006,167.953,245.411,271.789,214.356
"ENSG00000010671",90.923,121.657,119.195,35.857,81.178,102.122
"ENSG00000010704",213.104,301.991,169.834,307.538,325.642,244.093
"ENSG00000010803",3334.132,3003.377,2813.463,2837.724,2472.398,2661.081
"ENSG00000010810",1078.93,981.79,995.003,197.236,218.026,241.998
"ENSG00000010818",11589.097,10787.621,15087.854,8077.77,13290.973,18619.48
"ENSG00000010932",15,8,20,5,8,6
"ENSG00000011007",12329.519,8671.264,10654.004,9073.647,6734.751,9563.996
"ENSG00000011009",6103.235,4526.589,4462.067,5473.865,3974.119,4692.886
"ENSG00000011021",799.662,753.238,637.291,927.014,836.117,802.279
"ENSG00000011028",1728.406,1142.297,1854.999,118,92.008,235
"ENSG00000011052",2783.516,2033.103,1566.754,1207.503,710.693,1080.469
"ENSG00000011083",3,1,0,15,10,10
"ENSG00000011105",1975.496,1546.924,2824.568,2114.982,1770.315,2249.663
"ENSG00000011114",0,0,143.185,0,0,0
"ENSG00000011132",1786.598,1668.803,1253.486,1619.168,1592.923,1541.201
"ENSG00000011143",412.105,188.8,339.396,384.483,209.326,283.634
"ENSG00000011198",1237.872,755.008,1009.902,1003.774,538.509,1024.808
"ENSG00000011201",1145.982,456.007,603.539,412.459,285,374.768
"ENSG00000011243",2084.432,2891.824,2054.022,2357.402,2967.08,2581.748
"ENSG00000011258",2048.926,2224.299,1543.419,2537.225,2721.474,2275.663
"ENSG00000011260",10174.012,5153.168,7519,4118.929,2440.103,4203
"ENSG00000011275",6466.731,5079.143,4549.805,4997.282,3760.649,3910.385
"ENSG00000011295",5988.654,5387.469,5388.051,5196.647,4460.91,5492.204
"ENSG00000011304",24910.197,15827.253,21715.311,15554.392,11986.115,17656.994
"ENSG00000011332",6,3,6.73,4,5,4
"ENSG00000011347",410.999,442.959,214,2769.784,4299.566,2909
"ENSG00000011376",991.839,773.155,616.302,553.883,605.496,401.266
"ENSG00000011405",5030.5,1989.859,3226.336,4021.218,2787.753,2818.449
"ENSG00000011422",7321.996,13082.653,11414.619,7945.72,7164.118,10364.028
"ENSG00000011426",355.112,240.001,252,243,161.999,194.999
"ENSG00000011451",2534.254,1883.925,1925.978,1087.951,856.599,1379.879
"ENSG00000011454",7019.973,8400.267,6675.808,9080.476,12735.211,10905.465
"ENSG00000011465",34.583,35.43,27.539,40.943,44.727,14.642
"ENSG00000011478",450.766,484.806,348.283,372.904,332.404,284.54
"ENSG00000011485",4916.645,3986.928,3696.499,3685.428,2663.694,2990.001
"ENSG00000011523",965.837,1020.562,755.079,1075.903,1067.344,868.14
"ENSG00000011566",4019.936,3439.21,3224,5404.056,5854.132,5395.999
"ENSG00000011590",2,0,1,0,0,0
"ENSG00000011600",3,1,0,1,0,0
"ENSG00000011638",2585.042,5932.028,2446.135,4526.623,8244.692,5667.934
"ENSG00000011677",3,4.001,2,1,7,2
"ENSG00000012048",238.339,234.498,173.327,225.732,212.584,198.117
"ENSG00000012061",7930.243,5931.777,7713.239,3278.437,2488.939,3862.436
"ENSG00000012124",43.797,68.554,60.084,22.151,36.314,35.745
"ENSG00000012171",2272.077,5945.322,2679.66,2351.286,3489.118,2778.126
"ENSG00000012174",789.339,771.431,579.849,737.199,741.879,641.909
"ENSG00000012211",968.314,1133.421,1094,544.066,540.242,652.001
"ENSG00000012223",109201.271,56766.201,8219.006,600523.396,317517.406,335144.321
"ENSG00000012232",151.024,453.687,156.905,128.766,280.624,162.405
"ENSG00000012504",0,0,2,0,4.174,23.307
"ENSG00000012660",18242.186,11896.139,15767.046,13027.321,8904.315,13682.998
"ENSG00000012779",0,226.658,0,15.268,3194.115,0
"ENSG00000012817",3370.918,4152.259,3016,3810.587,5035.784,3720.788
"ENSG00000012822",1819.481,4065.835,821.001,6377.558,10642.805,4105.762
"ENSG00000012963",2539.802,1208.464,1851.387,2777.731,1442.244,2143.408
"ENSG00000012983",3016.412,3708.246,3079.282,2155.981,4145.726,2450.561
"ENSG00000013016",1254.196,2249.447,1055,427.896,959.095,418
"ENSG00000013288",1406.362,1499.904,1148.177,2108.707,2262.583,1765.371
"ENSG00000013293",66.448,117.196,91.592,43.237,90.059,57.278
"ENSG00000013297",570.927,689.56,977.193,96.975,82.634,195.406
"ENSG00000013306",14255.559,9935.901,11455.016,7183.129,5260.214,7547.036
"ENSG00000013364",18548.305,19275.458,7537.018,31569.107,24649.695,13466.875
"ENSG00000013374",8781.629,6614.918,7161.36,9630.367,7506.301,8317.195
"ENSG00000013375",4385.23,2620.095,3568.201,8192.479,3420.286,6696.71
"ENSG00000013392",346.278,440.644,270.026,924.523,719.687,634.037
"ENSG00000013441",11093.638,16142.921,13886.524,10233.852,19997.31,17140.002
"ENSG00000013503",2498.236,1250.257,1805,1479.469,722.002,1219
"ENSG00000013523",1483.887,1173.364,1157.006,872.162,627.345,954.215
"ENSG00000013561",5696.054,3186.787,4038.214,5951.113,3867.425,4725.485
